Source,Target,Weight
Сталин,полководец,2
Сталин,пока,2
Сталин,пожелал,2
Сталин,пехотой,2
Сталин,передал,2
Сталин,парад,2
Сталин,ответственная,2
Сталин,ответить,2
Сталин,обрюзглое,2
Сталин,области,2
Сталин,ничего,2
Сталин,непоколебимо,2
Сталин,немыслимо,2
Сталин,неграмотен,2
Сталин,нашей,2
Сталин,нашего,2
Сталин,наступлении,2
Сталин,направлял,2
Сталин,навсего,2
Сталин,москве,2
Сталин,курносый,2
Сталин,курносенькая,2
Сталин,коммунисты,2
Сталин,коммунизм,2
Сталин,кировской,2
Сталин,кинофильме,2
Сталин,й,2
Сталин,задача,2
Сталин,завод,2
Сталин,доклада,2
Сталин,дальнейших,2
Сталин,говорят,2
Сталин,го,2
Сталин,гитлер,2
Сталин,где,2
Сталин,вятской,2
Сталин,войны,2
Сталин,вождь,2
Сталин,военного,2
Сталин,вмф,2
Сталин,видим,2
Сталин,великий,2
Сталин,вареньем,2
Сталин,25,2
Сталин,тяжело,2
Сталин,текст,2
Сталин,родине,2
Сталин,пути,2
Сталин,як'и,1
Сталин,юрковичах,1
Сталин,эшелона,1
Сталин,эпохи,1
Сталин,энное,1
Сталин,шукаева,1
Сталин,шукаев,1
Сталин,шел,1
Сталин,чорноморчик,1
Сталин,члена,1
Сталин,читают,1
Сталин,читаем,1
Сталин,численностью,1
Сталин,четвертый,1
Сталин,черчилля,1
Сталин,черчиллю,1
Сталин,черчиллем,1
Сталин,чертовская,1
Сталин,черниговско,1
Сталин,часов,1
Сталин,чапаева,1
Сталин,целью,1
Сталин,хут,1
Сталин,христа,1
Сталин,хрен,1
Сталин,хочется,1
Сталин,хорошо,1
Сталин,хорошие,1
Сталин,ход,1
Сталин,фронту,1
Сталин,фронтовой,1
Сталин,фронте,1
Сталин,форсировать,1
Сталин,финской,1
Сталин,федорову,1
Сталин,фашизмом,1
Сталин,фамилий,1
Сталин,фактически,1
Сталин,уходя,1
Сталин,утешительная,1
Сталин,установили,1
Сталин,уровне,1
Сталин,упоминания,1
Сталин,умелое,1
Сталин,улетел,1
Сталин,украинцами,1
Сталин,украинского,1
Сталин,указание,1
Сталин,узнали,1
Сталин,удар,1
Сталин,тяжелом,1
Сталин,тыл,1
Сталин,тт,1
Сталин,трудовых,1
Сталин,трудах,1
Сталин,тремя,1
Сталин,тревога,1
Сталин,традиции,1
Сталин,торжественное,1
Сталин,тонах,1
Сталин,тол,1
Сталин,тишина,1
Сталин,ти,1
Сталин,территории,1
Сталин,темы,1
Сталин,тему,1
Сталин,тема,1
Сталин,телеграмму,1
Сталин,татищеве,1
